"id","submitdate","lastpage","startlanguage","seed","UEQS1[SQ001]","UEQS1[SQ002]","UEQS1[SQ003]","UEQS1[SQ004]","UEQS1[SQ005]","UEQS1[SQ006]","UEQS1[SQ007]","UEQS1[SQ008]","aint[SQ001]","aint[SQ002]","aint[SQ003]","G03Q03","G03Q04","G03Q05"
"5","1980-01-01 00:00:00","3","de","1632169112","7","7","6","6","5","5","4","4","Stimme ein wenig zu","Weder noch","Stimme zu","24","Weiblich","Student"
"6","1980-01-01 00:00:00","3","de","1518682680","2","3","2","3","4","4","5","5","Stimme nicht zu","Stimme überhaupt nicht zu","Stimme nicht zu","56","Weiblich","Berufstätig"
"7","1980-01-01 00:00:00","3","de","246622053","6","7","7","4","2","3","3","3","Stimme zu","Stimme zu","Stimme zu","32","Männlich","Berufstätig"
"8","1980-01-01 00:00:00","3","de","1296005585","5","2","2","3","1","1","1","1","Stimme nicht ganz zu","Stimme nicht zu","Stimme nicht zu","52","Männlich","Berufstätig"
"9","1980-01-01 00:00:00","3","de","864226119","3","5","6","5","4","6","7","6","Stimme zu","Stimme zu","Stimme zu","43","Weiblich","Berufstätig"
"10","1980-01-01 00:00:00","3","de","268193182","5","5","4","5","2","4","3","2","Stimme zu","Stimme nicht zu","Stimme nicht zu","39","Weiblich","Berufstätig"
"11","1980-01-01 00:00:00","3","de","435274383","5","6","5","6","4","4","4","4","Stimme zu","Stimme ein wenig zu","Stimme ein wenig zu","70","Männlich","Berufstätig"
"12","1980-01-01 00:00:00","3","de","927428245","6","5","5","6","3","3","3","2","Stimme nicht ganz zu","Stimme überhaupt nicht zu","Stimme nicht zu","25","Weiblich","Student"
"13","1980-01-01 00:00:00","3","de","925136052","3","2","2","2","2","3","1","5","Stimme ein wenig zu","Stimme nicht ganz zu","Stimme überhaupt nicht zu","26","Männlich","Berufstätig"
"14","1980-01-01 00:00:00","3","de","765260322","6","6","6","6","6","6","6","6","Stimme zu","Stimme nicht zu","Stimme zu","27","Männlich","Berufstätig"
"15","1980-01-01 00:00:00","3","de","1766482593","5","3","4","5","2","3","2","2","Stimme nicht zu","Stimme nicht zu","Stimme nicht ganz zu","22","Weiblich","Student"
"17","1980-01-01 00:00:00","3","de","1051540681","7","7","7","7","4","4","4","4","Stimme nicht ganz zu","Stimme ein wenig zu","Stimme zu","24","Weiblich","Student"
"19","1980-01-01 00:00:00","3","de","831566443","3","5","2","4","1","1","1","1","Stimme nicht zu","Stimme nicht zu","Weder noch","57","Männlich","Selbstständig"
"20","1980-01-01 00:00:00","3","de","1073876059","5","6","6","6","5","5","5","6","Stimme ein wenig zu","Stimme ein wenig zu","Stimme zu","45","Weiblich","Berufstätig"
"21","1980-01-01 00:00:00","3","de","1807085526","5","7","5","6","4","4","2","2","Stimme ein wenig zu","Stimme zu","Stimme ein wenig zu","23","Weiblich","Student"
"23","1980-01-01 00:00:00","3","de","1660644415","4","3","3","4","3","4","3","2","Stimme ein wenig zu","Stimme nicht zu","Stimme ein wenig zu","29","Weiblich","Berufstätig"
"25","1980-01-01 00:00:00","3","de","2143667743","6","5","7","5","4","5","2","1","Stimme ein wenig zu","Stimme nicht ganz zu","Stimme ein wenig zu","23","Weiblich","Student"
"26","1980-01-01 00:00:00","3","de","700090330","4","4","4","4","4","4","4","4","Stimme ein wenig zu","Stimme zu","Weder noch","49","Männlich","Berufstätig"
"27","1980-01-01 00:00:00","3","de","1385048960","5","6","6","5","5","5","4","5","Stimme ein wenig zu","Weder noch","Weder noch","59","Männlich","Berufstätig"
"28","1980-01-01 00:00:00","3","de","1312179483","4","7","4","6","4","4","3","3","Stimme ein wenig zu","Stimme ein wenig zu","Stimme ein wenig zu","54","Weiblich","Selbstständig"
"29","1980-01-01 00:00:00","3","de","730101738","5","6","5","5","5","6","5","4","Stimme zu","Stimme ein wenig zu","Stimme ein wenig zu","55","Männlich","Berufstätig"
"30","1980-01-01 00:00:00","3","de","1189236593","6","5","5","6","6","6","7","7","Stimme zu","Stimme zu","Stimme zu","58","Männlich","Selbstständig"
